,make,model,count,fatality_rate,make_model,num_seats,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,avg_fatal_injuries,avg_serious_injuries,avg_minor_injuries,avg_uninjured,Unknown,Minor,Substantial,Destroyed
1433,Boeing,777,91,0.0,Boeing 777,400,0,27,23,9414,0.0,0.2967032967032967,0.25274725274725274,103.45054945054945,0.5604395604395604,0.31868131868131866,0.10989010989010989,0.01098901098901099
1397,Boeing,767,59,0.01694915254237288,Boeing 767,250,3,64,19,5591,0.05084745762711865,1.0847457627118644,0.3220338983050847,94.76271186440678,0.5254237288135594,0.2542372881355932,0.1864406779661017,0.03389830508474576
1335,Boeing,747,75,0.02666666666666667,Boeing 747,416,6,72,6,2478,0.08,0.96,0.08,33.04,0.38666666666666666,0.44,0.14666666666666667,0.02666666666666667
1248,Boeing,737,477,0.033542976939203356,Boeing 737,160,1348,383,84,24525,2.8259958071278826,0.8029350104821803,0.1761006289308176,51.41509433962264,0.5660377358490566,0.259958071278826,0.14255765199161424,0.031446540880503145
2022,Cessna,182A,59,0.03389830508474576,Cessna 182A,4,5,20,15,70,0.0847457627118644,0.3389830508474576,0.2542372881355932,1.1864406779661016,0.0,0.0,0.9661016949152542,0.03389830508474576
320,Airbus,A320,85,0.043010752688172046,Airbus A320,186,283,11,13,4457,3.3294117647058825,0.12941176470588237,0.15294117647058825,52.43529411764706,0.7956989247311828,0.11827956989247312,0.043010752688172046,0.043010752688172046
7240,Stinson,108,57,0.05,Stinson 108,4,5,24,16,59,0.08771929824561403,0.42105263157894735,0.2807017543859649,1.0350877192982457,0.0,0.0,1.0,0.0
5953,Piper,Pa18150,207,0.056338028169014086,Piper Pa18150,2,18,39,15,237,0.08695652173913043,0.18840579710144928,0.07246376811594203,1.144927536231884,0.0,0.0,0.9812206572769953,0.018779342723004695
1926,Cessna,120,65,0.06060606060606061,Cessna 120,2,6,9,6,160,0.09230769230769231,0.13846153846153847,0.09230769230769231,2.4615384615384617,0.015151515151515152,0.0,0.9242424242424242,0.06060606060606061
5969,Piper,Pa22,81,0.06172839506172839,Piper Pa22,4,11,21,13,91,0.13580246913580246,0.25925925925925924,0.16049382716049382,1.123456790123457,0.0,0.0,0.9382716049382716,0.06172839506172839
5945,Piper,Pa18,201,0.06372549019607843,Piper Pa18,2,18,25,23,235,0.08955223880597014,0.12437810945273632,0.11442786069651742,1.1691542288557213,0.00980392156862745,0.0,0.9558823529411765,0.03431372549019608
1999,Cessna,180,242,0.07024793388429752,Cessna 180,4,35,39,22,349,0.1446280991735537,0.16115702479338842,0.09090909090909091,1.4421487603305785,0.004132231404958678,0.004132231404958678,0.9545454545454546,0.0371900826446281
1949,Cessna,170,81,0.07142857142857142,Cessna 170,4,12,13,12,246,0.14814814814814814,0.16049382716049382,0.14814814814814814,3.037037037037037,0.023809523809523808,0.011904761904761904,0.9047619047619048,0.05952380952380952
5977,Piper,Pa22150,78,0.07692307692307693,Piper Pa22150,2,12,16,6,98,0.15384615384615385,0.20512820512820512,0.07692307692307693,1.2564102564102564,0.01282051282051282,0.0,0.9358974358974359,0.05128205128205128
4890,Luscombe,8A,70,0.08571428571428572,Luscombe 8A,2,7,15,14,65,0.1,0.21428571428571427,0.2,0.9285714285714286,0.014285714285714285,0.0,0.9857142857142858,0.0
1927,Cessna,140,134,0.08888888888888889,Cessna 140,2,18,31,10,164,0.13432835820895522,0.23134328358208955,0.07462686567164178,1.2238805970149254,0.014814814814814815,0.007407407407407408,0.9629629629629629,0.014814814814814815
1953,Cessna,170B,131,0.0916030534351145,Cessna 170B,4,25,20,26,179,0.19083969465648856,0.15267175572519084,0.1984732824427481,1.366412213740458,0.0,0.0,0.9312977099236641,0.06870229007633588
267,Air Tractor,At301,60,0.1,Air Tractor At301,1,6,12,5,37,0.1,0.2,0.08333333333333333,0.6166666666666667,0.016666666666666666,0.0,0.9166666666666666,0.06666666666666667
5834,Piper,J3C65,78,0.1,Piper J3C65,2,12,27,18,71,0.15384615384615385,0.34615384615384615,0.23076923076923078,0.9102564102564102,0.0125,0.0,0.95,0.0375
1944,Cessna,152,381,0.10209424083769633,Cessna 152,2,59,53,47,368,0.15485564304461943,0.13910761154855644,0.12335958005249344,0.9658792650918635,0.02356020942408377,0.015706806282722512,0.8900523560209425,0.07068062827225131
1983,Cessna,172P,185,0.10270270270270271,Cessna 172P,4,34,28,26,274,0.1837837837837838,0.15135135135135136,0.14054054054054055,1.481081081081081,0.005405405405405406,0.005405405405405406,0.9027027027027027,0.08648648648648649
5867,Piper,Pa 18150,58,0.10344827586206896,Piper Pa 18150,2,8,12,7,63,0.13793103448275862,0.20689655172413793,0.1206896551724138,1.0862068965517242,0.0,0.017241379310344827,0.9655172413793104,0.017241379310344827
4888,Luscombe,8,47,0.10416666666666667,Luscombe 8,2,6,16,7,35,0.1276595744680851,0.3404255319148936,0.14893617021276595,0.7446808510638298,0.020833333333333332,0.0,0.9583333333333334,0.020833333333333332
1986,Cessna,172Rg,75,0.10526315789473684,Cessna 172Rg,4,17,9,7,110,0.22666666666666666,0.12,0.09333333333333334,1.4666666666666666,0.02631578947368421,0.039473684210526314,0.8552631578947368,0.07894736842105263
2180,Cessna,A185,66,0.10606060606060606,Cessna A185,6,11,17,8,103,0.16666666666666666,0.25757575757575757,0.12121212121212122,1.5606060606060606,0.030303030303030304,0.0,0.9393939393939394,0.030303030303030304
